Name,Short description,Ocassion,Solo / Group,Demo links,Presentation link
Offlow,An offline Personal Assistant and data transfer tool using Ultrasonic Waves.,Hackathon,Group,https://www.youtube.com/watch?v=FXNgxycVW3E,https://devpost.com/software/offlow
SmartPower,A peer-to-peer energy distribution system to solve most of the power grid problems like theft and mointoring. Leverages Internet of Things (IoT) and Smart Contracts on a blockchain.,Hackathon,Group,https://www.youtube.com/watch?v=D1QPoWUEKXk,https://docs.google.com/document/d/1mt-nEeTe11ijWiZG1_5kytuChLU_xBgWY-5PB4BLx84/edit?usp=sharing
RescueBot,"An Accident Reporting system and a
First-Aid query engine on Facebook messenger.",Casual,Group,https://www.youtube.com/watch?v=SjORe3_2bQc,https://docs.google.com/presentation/d/1vxDeLH_gKJh9M6C7YtiTMD4JajqyISe3ufUtWlXl_4w/edit?usp=sharing
Anywhere door,AR Portal with live streaming. Inspired with Doraemon's Anywhere Door gadget.,Hackathon,Group,"https://www.youtube.com/watch?v=_1tm1sdgvK4, https://www.youtube.com/watch?v=jyX22MtXlLs",https://docs.google.com/document/d/1h1SdUVL10b1spg3Yu9xIgfI3rc9g-yGZLz7drKS4TXI/edit?usp=sharing
Come fly with Vistara,"Improving the in-flight experience by means of technology, human relations and customer feedback.",Hackathon,Group,https://www.youtube.com/watch?v=HKn3Oqe16o0,https://docs.google.com/document/d/1vnCFRfdY5mmk40EQ7Nrxzu2-eYgg2eHNc9wHkF4Ygfk/edit?usp=sharing
HiltiChain,"Using Internet-of-things and blockchain in processes involved at construction sites.
",Hackathon,Group,https://www.youtube.com/watch?v=uv_Aiq2_I8I,https://docs.google.com/presentation/d/1ugmi5zI1cDIa4eLyTWQVAvWOU6b24yrvhu8-XT0U370/edit?usp=sharing
HoraFeliz,Next generation retail management using Augmented Reality.,Hackathon,Group,https://www.youtube.com/watch?v=hG5fnOjpQLM,
Lifemate,A personalized chat-based assistant for a leading insurance company,Hackathon,Group,https://www.youtube.com/watch?v=L7H-kLINBJI,https://docs.google.com/presentation/d/1IlI0jmwDg0l3WZVZgj8jx7sGn1rO7ERwVAj8xFPJtVA/edit?usp=sharing
"Udaan
","Combining location, AR, and social media for better customer engagement and profiling.",Hackathon,Group,https://www.youtube.com/watch?v=PNCc3FvD4k4,https://docs.google.com/presentation/d/19xye_7d0Lu8BSrTYzFKj7Jtlsd1VgcI85v6Q9h1qV1g/edit?usp=sharing
Witty,A prototype E-commerce platform that aims at simulating real-world market like experience and improving customer experience.,Casual,Group,https://www.youtube.com/watch?v=bYaUbwPRqmw,https://github.com/satwikkansal/witty
VisionAR,AR based search engine (just like Google lens),Hackathon,Group,https://www.youtube.com/watch?v=UWOQmh7H_cM,https://docs.google.com/document/d/1P9PLatImFufcnFm7Yt0oRP61PvUOkk8aElE6v03dkeY/edit?usp=sharing